Day,ET,wnd_spd,Rn,VPD,Ta,h,VWC,G
89,40.47317073,1.217466544,137.4414634,0.470667838,5.554792837,0.557264293,0.280148027,-1.974251366
90,45.18181818,3.482182911,60.47272727,0.478385348,8.828883568,0.605961368,0.277926198,-5.577554932
91,57.60645161,5.273336452,49.93548387,0.159070268,12.64187248,0.896014652,0.311746129,-14.11193669
92,55.70731707,3.657516,142.6682927,0.257252639,4.903768366,0.734647329,0.284074177,4.314333252
93,44.20857143,3.617507829,29.06571429,0.124048428,-0.290757877,0.794886369,0.283857783,12.54706551
94,58.20434783,3.883083885,128.2847826,0.379860184,3.929314595,0.664094117,0.283284615,0.925224717
95,25.34222222,1.976382513,24.36444444,0.08373698,-1.232283513,0.850151078,0.279897621,7.7932712
96,50.92826087,2.208612498,136.1565217,0.29975829,-0.04667835,0.554194785,0.277777542,3.79372128
97,52.34,2.913056571,20.86285714,0.174070439,4.154834657,0.771601037,0.283752323,1.830989444
98,34.14545455,4.143376886,40.95227273,0.108230286,1.444729021,0.836537905,0.284040965,6.32843125
99,42.52162162,2.274420346,38.11081081,0.101244242,-0.708157082,0.823464419,0.282152642,6.640666557
100,22.705,2.381801558,42.8625,0.204738649,-2.244447698,0.633664445,0.282607929,6.1234478
101,57.69,2.913531967,0.816666667,0.107632318,-0.050767117,0.801124853,0.285387667,6.33796399
102,72.37272727,4.300724667,158.4545455,0.34908953,5.735479155,0.61389447,0.286963169,-4.369557173
103,39.17708333,2.113619833,118.5229167,0.34447396,3.144026516,0.584262981,0.280516,-0.410339285
104,30.95238095,1.479282631,94.17380952,0.489712195,6.450452905,0.541979186,0.278385119,-4.826438926
105,38.61086957,1.801629824,132.8478261,0.708823211,9.126503935,0.456379559,0.276814488,-8.105087478
106,39.31458333,1.635514823,124.0166667,1.033494223,12.77598454,0.409466015,0.285177194,-9.38695976
107,42.68222222,1.569762047,136.1,1.402072391,16.87648902,0.366105613,0.289785869,-12.69931615
108,40.8875,1.075604403,160.225,1.72171016,18.8546522,0.29872964,0.288666465,-13.89104176
109,47.78717949,1.727161538,162.9307692,1.747134523,20.8724241,0.357887569,0.290474854,-14.54899864
110,27.32978723,2.532697923,51.91276596,0.571726094,11.77152302,0.598292968,0.304860923,-1.107142849
111,49.84255319,2.407834951,123.0255319,1.142553172,14.93994419,0.377161353,0.286675965,-6.317259787
112,74.525,1.429015859,61.121875,0.19223058,12.43096359,0.864337609,0.304943433,-5.160443928
113,58.08148148,1.361292415,44.41851852,0.107689297,11.73167507,0.923914422,0.312334208,-3.83688571
114,49.25106383,1.638294406,145.5255319,0.60579844,10.11182991,0.565687126,0.295744323,-3.4015914
115,49.92888889,1.986011351,147.6422222,0.939414433,14.22958378,0.481435222,0.291479225,-7.642021318
116,51.91304348,2.862301861,114.2173913,1.069496227,18.18873978,0.542061452,0.303683806,-11.7868635
117,51.33333333,2.427284745,59.26666667,0.087546058,7.508453364,0.907177418,0.316378529,5.126766555
118,63.63541667,2.612381688,140.0020833,0.564905409,8.908278146,0.586303969,0.30115006,1.384563833
119,58.13428571,2.449998286,16.8,0.283401788,6.599433543,0.73086512,0.287009369,6.913350457
120,37.75531915,1.665438062,99.83617021,0.231502838,7.259588191,0.783477028,0.294133846,-1.466007291
121,64.85813953,2.125151186,42.01162791,0.250325564,8.332412163,0.783144614,0.285301475,1.563115129
122,34.06052632,2.255306579,47.65263158,0.058758744,8.283058,0.946949653,0.288361227,-1.017681284
123,46.36428571,1.567632319,104.7047619,0.213472375,8.598629476,0.827747962,0.306966292,-3.20799434
124,111.8282051,2.288106313,202.2435897,0.831115376,13.26389223,0.532438546,0.301585065,-8.853138385
125,53.18235294,2.853573941,13.46666667,0.246238646,9.0244115,0.811826044,0.30742146,5.244622056
126,65.30222222,2.9941656,139.96,0.524254929,11.82983309,0.68674734,0.308633071,-6.634965684
127,63.19285714,1.592348583,176.4642857,1.078396536,15.0603599,0.480687914,0.300193881,-10.01687991
128,47.99375,2.345134073,115.1395833,1.070184458,16.84584708,0.459427767,0.303343456,-7.27862941
129,52.11,2.589662708,198.585,1.158369265,14.37489533,0.340623425,0.294328369,-3.737283546
130,43.16136364,2.056834125,85.76136364,0.797416057,12.488199,0.480479227,0.28995344,-0.260383352
131,59.71111111,2.788362167,37.89444444,0.171347973,10.27332847,0.862696456,0.305406754,1.81541659
132,48.08372093,1.554237714,131.2976744,0.368139037,15.3627293,0.812775595,0.303651988,-12.22653098
133,36.06896552,2.508283138,70.98275862,0.201512137,16.76777276,0.900782886,0.302342923,-10.58894675
134,85.31521739,3.374506322,169.7608696,0.491716433,12.74873661,0.6951126,0.305327525,-1.50566195
135,90.13333333,4.468154289,102.08,0.234837369,5.928837889,0.743697342,0.307576779,15.90143989
136,63.47234043,3.666794021,148.8042553,0.417984549,5.414713128,0.557228866,0.276615373,8.751869038
137,51.16956522,3.143266239,147.2695652,0.826655059,12.00065363,0.490443109,0.289224613,-4.489691275
138,52.03863636,1.443770877,162.9659091,0.622623924,13.71481059,0.642925339,0.29919616,-10.95717235
139,53.21304348,1.60639503,171.826087,0.934611326,13.72379161,0.454787111,0.295652363,-7.589224257
140,79.23666667,1.575577917,286.7666667,1.491355471,18.08455277,0.32803861,0.28909905,-18.53194973
141,38.46190476,1.346440876,117.4547619,1.184338914,17.14595986,0.4348748,0.28818654,-6.628134812
142,44.78333333,1.568849215,142.9333333,1.32065445,17.97520063,0.410034783,0.28194885,-9.404607113
143,44.02391304,1.661284459,169.0152174,1.207093228,17.30956043,0.455847096,0.277568292,-8.236296464
144,60.12105263,1.390084326,216.1815789,1.677427953,19.88727432,0.383470968,0.272828863,-13.74675256
145,41.00731707,1.941916651,193.8731707,1.781666317,21.64927366,0.392542083,0.2669536,-12.26167888
146,47.60625,2.106689579,161.8833333,1.523035592,23.87623417,0.527814198,0.257670217,-15.27058771
147,91.85384615,2.570011264,193.7717949,0.875039787,23.12948333,0.744824551,0.274556313,-17.08008077
148,67.42368421,1.794872313,177.7736842,1.024898858,24.377115,0.685509024,0.270280192,-17.47784658
149,52.70434783,2.481709757,110.9456522,1.095214624,23.94581413,0.653274139,0.267686958,-10.20215215
150,58.49767442,3.248623605,208.0883721,1.186570565,23.39665791,0.616616251,0.264192065,-10.23133579
151,42.03829787,2.133311991,169.3638298,1.344079457,22.49060468,0.56049843,0.260420358,-7.982858723
152,50.61363636,1.486443355,181.7477273,1.763189211,23.20741114,0.445603552,0.257499438,-8.65319857
153,67.25952381,1.529360243,106.6666667,1.052435359,20.89309524,0.587842421,0.256495615,-3.065993032
154,52.95952381,2.710797619,209.3595238,1.236337343,20.9221131,0.54460151,0.253579846,-4.919625269
155,44.81666667,1.160398995,208.2333333,1.391015328,21.27747452,0.531604495,0.24878365,-11.11741321
156,53.54634146,1.591999173,123.1219512,0.910117086,20.79657756,0.679501717,0.246414806,-5.225217722
157,64.6825,3.343177575,106.7375,0.44208921,18.294155,0.802349218,0.272915329,2.159278656
158,70.96363636,3.226320705,166.425,0.930954539,19.1809,0.631970148,0.271584908,-0.977598052
159,30.92291667,3.029102958,71.44375,0.341239599,13.27582017,0.787796006,0.273536969,10.89118544
160,59.96341463,2.614108893,235.5609756,0.768303876,14.25834407,0.586702851,0.270274302,-0.150291722
161,38.67837838,1.339940562,121.827027,1.022979616,17.34557643,0.557643735,0.267849923,-3.567882916
162,42.44130435,1.602003863,173.7369565,1.310217295,23.67934978,0.612619857,0.255341417,-19.25063688
163,39.76808511,2.774567794,196.4340426,1.525751609,26.00793234,0.570064032,0.244145392,-15.50443627
164,47.98913043,1.910350891,164.3413043,1.466539067,20.5988037,0.42330198,0.242060606,-2.480663717
165,39.67446809,1.421363511,138.912766,1.191679236,19.30040872,0.528479281,0.238932781,-3.841275745
166,88.29347826,1.640124391,155.3282609,1.086451548,20.93842174,0.608196407,0.236622335,-8.008490957
167,100.497619,1.888259871,213.35,1.011495004,23.52949429,0.685248883,0.245060108,-14.92024881
168,37.71463415,2.647293639,67.00243902,0.120778448,18.28054415,0.942392176,0.269502542,4.679702722
169,92.5097561,1.323369827,213.9682927,1.56023797,23.36206854,0.526398939,0.312830798,-11.85984793
170,84.11860465,0.907450402,198.6651163,1.817560901,25.07614581,0.518217221,0.518217221,-11.42989096
171,98.29210526,1.807208484,253.25,1.954888203,26.23991763,0.486966184,0.486966184,-15.15213375
172,55.16956522,3.538694413,145.873913,1.273709376,25.74439804,0.625131041,0.625131041,-7.784077504
173,64.82340426,2.666817279,190.8340426,1.22860507,20.62001021,0.530637657,0.530637657,2.174417357
174,52.37555556,1.284366817,137.3377778,1.12020779,21.68456422,0.597674469,0.597674469,-4.660107529
175,63.78125,1.549592657,174.525,0.752246047,21.16393417,0.728232398,0.728232398,-9.281271863
176,67.71956522,1.311901183,192.8043478,1.793799209,22.95565957,0.405526591,0.405526591,-8.318743075
177,88.39268293,1.856400063,222.0439024,1.701332717,24.57237659,0.496756163,0.496756163,-12.32352122
178,48.215,2.107886153,93.8225,0.84900657,24.119059,0.719740205,0.719740205,-5.297842115
179,79.93555556,3.065757111,195.0222222,1.289785336,24.09694356,0.601677331,0.601677331,-5.614398289
180,29.88333333,1.984582773,49.2125,0.636307213,17.0054,0.680988327,0.680988327,8.634005938
181,58.9744186,1.389979767,191.2488372,1.2414219,18.7941393,0.495755549,0.495755549,-3.020673463
182,81.86578947,1.732283018,218.1868421,1.485793087,21.628245,0.477049745,0.477049745,-9.173028623
183,88.00731707,2.464715149,193.0268293,0.68611478,18.25744854,0.693029378,0.693029378,-1.368135641
184,69.02142857,1.225365474,163.4309524,1.025330202,18.50470286,0.592040324,0.592040324,-4.793416833
185,78.13684211,1.266736808,186.5421053,1.25822338,20.62841263,0.551966484,0.551966484,-4.629321679
186,61.64130435,1.518778161,171.2695652,0.930449163,21.34098022,0.665836122,0.665836122,-6.343260978
187,76.15135135,2.140774324,188.3162162,1.036473196,23.86310081,0.679426316,0.679426316,-13.37207781
188,68.5,1.967277005,165.215,1.060360045,24.41581425,0.69625082,0.69625082,-12.04155931
189,78.21388889,1.285328014,168.975,0.958181073,25.40342944,0.736565361,0.736565361,-13.61860656
190,102.5883721,2.431031456,197.0302326,0.913932956,24.2686707,0.732157558,0.732157558,-9.138157907
191,49.75,2.428262354,97.51875,0.700090503,20.51344229,0.72863014,0.72863014,1.047591354
192,102.1088235,1.116840174,253.5441176,1.565441169,23.71284088,0.515919735,0.515919735,-13.66011243
193,74.52272727,1.254555809,120.5431818,0.869493282,23.78407568,0.740326307,0.740326307,-5.395490811
194,117.3431818,2.260549266,184.8886364,0.906983959,25.28063,0.756578798,0.756578798,-8.753316727
195,112.4685714,2.374156257,210.78,0.733301081,25.32196886,0.78919772,0.78919772,-11.29295999
196,99.68125,3.201757,187.29375,1.135929117,24.11813292,0.659184719,0.659184719,-2.90570125
197,56.79148936,2.07943673,97.86808511,0.543789262,19.77057468,0.774262838,0.774262838,5.976941015
198,64.40238095,1.10651439,187.2547619,0.954797608,19.38727071,0.647619026,0.647619026,-3.793766045
199,74.0325,2.7453468,180.155,0.959914598,22.30761725,0.708042925,0.708042925,-2.836157765
200,100.0452381,2.340541667,182.0357143,1.213315821,24.66075048,0.648435907,0.648435907,-10.57579408
201,88.70512821,1.150536423,214.8128205,1.550056274,24.98707179,0.57777199,0.57777199,-12.30581021
202,90.2,1.22771594,234.66,1.45036394,25.74068343,0.628201397,0.628201397,-15.74870069
203,70.00857143,2.042646517,137.34,0.531854481,24.58003771,0.842634103,0.842634103,-5.206772297
204,107.5844444,1.984324062,196.1422222,1.052444036,26.36437956,0.715321682,0.715321682,-13.37736796
205,132.6057143,0.971867989,249.9657143,1.67495265,28.28691714,0.618917506,0.618917506,-19.10184253
206,90.07241379,1.920946269,143.8724138,0.499450022,25.90587655,0.869915948,0.869915948,-9.177177724
207,127.4541667,2.418041694,187.4354167,1.085945615,25.27745833,0.681137938,0.681137938,-6.010026169
208,135.7615385,1.13797591,236.4076923,1.229865455,24.87831692,0.65344189,0.65344189,-9.975870179
209,132.4,1.242915797,252.6837838,1.208673241,25.11964541,0.662111435,0.662111435,-12.49484717
210,94.12285714,1.201155697,215.0628571,0.928496977,24.05489086,0.731870866,0.731870866,-7.925697886
211,63.43913043,1.598042993,107.4717391,0.526920607,21.3267187,0.804413504,0.804413504,7.494353107
212,77.78809524,1.588006548,58.09285714,0.188005924,19.13842238,0.917261771,0.917261771,7.509031517
213,54.39787234,0.98274854,128.0234043,0.411594215,21.07274872,0.85610566,0.85610566,-5.646634191
214,120.8918919,1.033429257,256.3702703,1.17526986,23.45878757,0.641845224,0.641845224,-15.04893941
215,145.3441176,0.849333579,275.4882353,1.350148154,25.35099853,0.639763865,0.639763865,-19.95661068
216,144.9914286,0.732188026,267.84,1.511256876,26.27367743,0.622295731,0.622295731,-20.14998914
217,156.0486486,0.901185489,246.4567568,1.593885651,27.13780027,0.600609268,0.600609268,-17.68829473
218,93.41666667,2.104350254,139.1375,0.824943702,24.48434625,0.741224854,0.741224854,-2.072464269
219,132.5815789,1.818422995,220.4394737,1.090172234,22.99691421,0.642271279,0.642271279,-6.680835721
220,85.38717949,1.041070731,196.8923077,1.125550974,22.11526359,0.612577769,0.612577769,-6.1580129
221,115.92,1.133185746,258.3228571,1.463132346,23.83342286,0.551508031,0.551508031,-12.1009068
222,119.0421053,0.968770932,212.5710526,1.292937834,24.35072632,0.627675232,0.627675232,-10.95966566
223,131.9210526,0.898012582,246.8421053,1.391873034,26.31625,0.661720424,0.661720424,-16.45691971
224,83.05681818,1.862452409,149.2795455,0.973528175,27.21358955,0.754764623,0.754764623,-11.0726823
225,73.9952381,1.643263748,124.4857143,0.549497956,26.01399,0.849443055,0.849443055,-7.736302881
226,110.275,2.571372131,136.8027778,0.327818447,23.88642417,0.900066203,0.900066203,-1.755025553
227,118.6366667,1.39527216,207.8333333,0.86916684,24.65019667,0.73584205,0.73584205,-13.57503909
228,127.1878788,1.002415748,123.1848485,0.343194285,21.75183788,0.89057743,0.89057743,0.761072121
229,154.4971429,2.02386082,189.3228571,0.567058193,23.51909971,0.8299886,0.8299886,-7.424649629
230,120.7631579,1.993058845,203.5631579,0.565939978,23.08063132,0.824826703,0.824826703,-4.330173342
231,120.869697,1.234155345,205.2,0.735140895,24.03886909,0.774457688,0.774457688,-13.21503545
232,100.2678571,1.938827686,143.2964286,0.479134006,23.25197786,0.844700343,0.844700343,-7.189163536
233,77.54642857,2.428212793,101.7178571,0.304297975,22.49551571,0.893455564,0.893455564,-2.166440557
234,72.95217391,2.657169063,113.7652174,0.489046742,18.73037587,0.784898207,0.784898207,9.396523113
235,162.2882353,1.250968988,233.5441176,0.865920187,19.79466971,0.688355129,0.688355129,-9.476786897
236,129.1060606,1.857820645,223.169697,0.975936954,22.10657545,0.665685242,0.665685242,-8.874986551
237,53.10263158,2.052205103,88.72105263,0.461808574,22.03852868,0.833406655,0.833406655,-3.520775632
238,82.06857143,2.307984043,173.3085714,0.537649055,23.54690229,0.825133731,0.825133731,-8.3490484
239,115.1263158,1.213870476,216.6947368,0.893945031,22.82236342,0.716581387,0.716581387,-8.826230611
240,81.44117647,1.477695976,99.26470588,0.408927647,21.40586294,0.846262929,0.846262929,0.255193094
241,153.8037037,1.276176744,314.6037037,0.957238866,26.50844556,0.739009104,0.739009104,-25.4049138
242,121.4736842,0.904830282,218.2921053,0.864250626,24.88158211,0.763657418,0.763657418,-11.07080608
243,70.73333333,1.100142073,122.0177778,0.472125935,23.43827822,0.851493909,0.851493909,-4.887359562
244,76.88222222,1.314706138,136.1911111,0.617163521,22.02741978,0.777134438,0.777134438,0.842097133
245,71.13958333,1.383337485,119.0666667,0.649419717,18.29866396,0.717503265,0.717503265,8.700800531
246,65.275,1.543244633,122.35,0.688581771,18.10639875,0.697956558,0.697956558,7.99637676
247,82.49473684,1.206800874,197.7947368,0.763492198,19.11462816,0.71193305,0.71193305,1.142359353
248,139.4193548,1.206207374,244.8580645,1.089336136,21.88593742,0.630454774,0.630454774,-7.577165179
249,98.3575,1.640919348,177.3175,1.011981796,23.9077675,0.699800873,0.699800873,-9.20988808
250,85.2025641,2.049686672,185.8974359,0.933589932,26.91439744,0.761273372,0.761273372,-15.52264341
251,82.11351351,1.825749595,149.1135135,0.813496565,27.36263243,0.783791168,0.783791168,-13.97233943
252,62.58571429,2.274335686,66.22285714,0.227710923,23.07017257,0.922824614,0.922824614,-1.634870443
253,75.78918919,1.134380441,112.4702703,0.313280089,22.59567432,0.900756941,0.900756941,-4.633577622
254,48.855,2.421347848,47.645,0.209449911,18.8529105,0.903167503,0.903167503,9.37450905
255,103.8181818,1.036081067,207.4272727,0.847703981,18.53270788,0.651988009,0.651988009,-3.604499545
256,90.9804878,1.425073129,154.7365854,0.82827703,18.94112829,0.672602524,0.672602524,-0.409217927
257,75.23611111,1.953608956,187.0416667,0.769472306,21.85372528,0.740889886,0.740889886,-11.84879056
258,67.03181818,1.350010641,138.6477273,0.695750312,18.68279932,0.702224514,0.702224514,4.630426884
259,65.99230769,1.388259538,142.7461538,0.905983391,18.57455923,0.610298305,0.610298305,0.431841308
260,83.76774194,1.800357181,199.2870968,0.885471607,21.12744,0.692069577,0.692069577,-10.99706439
261,86.41944444,1.987732711,106.1277778,0.407846979,21.31253556,0.852407292,0.852407292,-6.708034617
262,92.61612903,1.695127313,207.2225806,0.801430745,21.06502806,0.714119045,0.714119045,-9.817905506
263,99.85,1.617291708,170.8052632,1.181600236,21.99342474,0.629286187,0.629286187,-7.050165076
264,58.17954545,1.009116964,148.4545455,1.17457719,21.86433045,0.604358182,0.604358182,-4.429101159
265,44.35641026,1.233672367,72.32051282,0.58170658,20.67366718,0.789548041,0.789548041,-1.654286769
266,61.97878788,1.281328327,157.9,0.944359173,23.50376242,0.719356388,0.719356388,-14.44897425
267,24.915,1.609789008,30.24,0.207676393,18.78226675,0.903059598,0.903059598,4.28128749
268,30.10208333,1.789423104,100.4145833,0.517413565,16.58439083,0.753648096,0.753648096,4.340938708
269,41.80833333,1.818689121,103.4583333,0.775719588,18.09050938,0.67964206,0.67964206,0.163260146
270,62.3175,3.054674975,101.9775,0.699611192,16.22771225,0.627950095,0.627950095,5.36193485
271,35.93913043,2.889259128,84.96956522,0.675976141,13.97787154,0.602617889,0.602617889,6.9773468
272,36.95813953,1.974671395,44.2744186,0.338334622,13.25880349,0.795384479,0.795384479,8.843190386
273,85.13030303,2.464884333,29.14242424,0.079935376,14.64090333,0.952048706,0.952048706,5.173697167
274,47.30555556,2.244240944,29.20277778,0.046640531,14.84564028,0.972888042,0.972888042,3.469678526
275,64.74473684,1.509443792,79.82894737,0.275634524,15.69310711,0.868964142,0.868964142,-3.528129161
276,70.49090909,1.062815991,114.530303,0.2877263,15.57264848,0.865980706,0.865980706,-5.984416394
277,38.1,1.019747439,113.8806452,0.269223077,15.98512129,0.874604284,0.874604284,-6.9894399
278,49.93636364,1.66781652,107.4522727,0.613428634,17.51453136,0.75322098,0.75322098,-5.197933382
279,70.46153846,2.208923931,168.3153846,0.720544535,21.17540308,0.746953396,0.746953396,-18.1926125
280,60.50333333,0.98868752,62.84,0.089415786,19.41783633,0.964633227,0.964633227,-7.6470319
281,43.18780488,2.582493707,72.76341463,0.443434427,17.60375561,0.80716831,0.80716831,-1.111698998
282,34.04130435,2.619607363,76.46521739,0.421260875,9.966497674,0.682584907,0.682584907,15.8832346
283,25.33555556,1.030953413,87.77111111,0.456039677,10.48925351,0.690832916,0.690832916,7.491056822
284,29.25227273,1.401664336,82.82272727,0.501704082,12.23457073,0.697325177,0.697325177,4.423009866
285,27.325,1.705820317,60.56666667,0.608147083,15.32575938,0.680683115,0.680683115,-1.123783275
